Despesa,Des_Despesa,Fornecedor
PB1218.6,PB1218.6 - AMS TCAE (TC),FCA Itália
PB1218.7,PB1218.7 - Product Configurator - RTC,FCA Itália
PB1218.8,PB1218.8 - (GRPROD) GRIGLIA DI PRODOTTO,FCA Itália
PB1218.9,PB1218.9 - ESLM R&D Support,FCA Itália
PB1218.10,PB1218.10 - DB Benchmarking Infrastructure,FCA Itália
PB1218.11,PB1218.11 - ESLM-GLUE FIASA,FCA Itália
PB1218.12,PB1218.12 - Engineering Planning System,FCA Itália
PB1218.13,PB1218.13 - ESLM - Embedded Software Lifecycle Mgmt,FCA Itália
PB1218.14,PB1218.14 - PGP Piano gamma prodotti,FCA Itália
PB1218.15,PB1218.15 - NX Base Customizations,FCA Itália
PB1218.16,PB1218.16 - Application Lifecycle Mnmt (ALM) - PD,FCA Itália
PB1218.17,PB1218.17 - Global Standard Plan,FCA Itália
PB1218.18,PB1218.18 - Supporto ESLM,FCA Itália
PB1218.19,PB1218.19 - BESTANDARD,FCA Itália
PB1218.20,PB1218.20 - ESLM - Report,FCA Itália
PB1218.21,PB1218.21 - CADNET,FCA Itália
PB1218.22,PB1218.22 - GBD - Global Benchmarking Database,FCA Itália
PB1218.23,PB1218.23 - (CODEP) CODEP,FCA Itália
PB1218.24,PB1218.24 - AGT Access Grant Tool,FCA Itália
PB1218.25,PB1218.25 - (GRPROD) GRIGLIA DI PRODOTTO,FCA Itália
PB1218.26,PB1218.26 - PGP Piano gamma prodotti,FCA Itália
PB1218.27,PB1218.27 - BESTANDARD,FCA Itália
PB1218.28,PB1218.28 - BlockPoint NX,FCA Itália
PB1218.29,PB1218.29 - Application Lifecycle Mnmt (ALM) - PD (COMPLEMENTAR),FCA Itália
PB1218.1,PB1218.1 - E3 Bundle Global License WAN,FCA Itália
PB1219.1,PB1219.1 - Despesas Diversas ICT,
PB1221.1,PB1221.1 - Manutenções Evolutivas,
PB1222.1,PB1222.1 - Cognos Planning - TM1 - Subscription,Ação Informática
PB1223.2,PB1223.2 - AWS Smart AMS,NPO
PB1223.1,PB1223.1 - IBM Smart AMS,IBM
PB1225.6,PB1225.6 - Telecom Expenses Management (TEM),BT
PB1225.2,PB1225.2 - Suporte Gartner,Gartner
PB1225.3,PB1225.3 - Financial Management & Contracts,Force One
PB1225.1,PB1225.1 - Simpósio Gartner,Gartner
PB1226.16,PB1226.16 - Process Management & Reporting,Force One
PRB1226.15,PB1226.15 - Process Management (Incident/Service Catalog/Vendor Mgmt),Force One
PB1226.13,PB1226.13 - ICT Communication & Training,Force One
PB1226.2,PB1226.2 - Drive IT - ServiceNow - Subscrição,ServiceNow
PB1226.3,PB1226.3 - PMO - Gestão de Portfólio de Projetos / SharePoint / EPM,Force One
PB1227.4,PB1227.4 - GSuite - Subscription,FCA Itália
PB1227.2,PB1227.2 - PLANNING CONTRACT - COMMON SERVICES,FCA Itália
PB1227.3,PB1227.3 - AMS NO SAP COMMON SERVICES (SHAREPOINT),FCA Itália
PB1227.1,PB1227.1 - 132 -  CSC DIREZ. SVILUP. INTER,FCA Itália
PB1228.2,PB1228.2 - Fleet de Produção (on-going),Campello
PB1228.3,PB1228.3 - [FLEET] Reembolso peças e serviços Fleet Produção,Campello
PB1229.2,PB1229.2 - [ZEBRA] Manutenção de Hardware Montagem Final (General South),Zebra
PB1229.1,PB1229.1 - [ZEBRA] Manutenção de Hardware Funilaria (Body Shop),Zebra
PB1230.1,PB1230.1 - [ME] Manutenções Evolutivas - Manufacturing,IBM e Diversos
PB1231.19,PB1231.19 - [LICENSE] Plant Simulation,Siemens
PB1231.18,PB1231.18 - [LICENSE] Maintenance Line Designer,Siemens
PB1231.17,PB1231.17 - [LICENSE] Maintenance STAR CCM,Siemens
PB1231.16,PB1231.16 - [LICENSE] Maintenance Dashboard (rollout EMEA),
PB1231.2,PB1231.2 - [LICENSE] Maintenance OSS JDA,JDA
PB1231.3,PB1231.3 - [LICENSE] Maintenance TCM / NX / Process (Manufacturing),Siemens
PB1231.4,PB1231.4 - [LICENSE] Maintenance TICON,Deutsche MTM
