Despesa,Des_Despesa,Fornecedor
PB1716.26,PB1716.26 - SystemDesk,DSPACE
PB1716.27,PB1716.27 - IBM - Licença Team Concert Developer,IBM
PB1716.28,PB1716.28 - ProveTech (COMPLEMENTAR),MBTech
PB1716.29,PB1716.29 - IBM - Licença Publishing Engi,IBM
PB1716.30,PB1716.30 - CANalyzer,Vector Informatik
PB1716.31,PB1716.31 - INTECRIO,ETAS
PB1716.32,PB1716.32 - DA VINCI,Vector Informatik
PB1716.33,PB1716.33 - ProveTech (COMPLEMENTAR),MBTech
PB1716.34,PB1716.34 - DIAB COMPILER,WIND RIVER
PB1716.35,PB1716.35 - CANDELA,Vector Informatik
PB1716.36,PB1716.36 - MATLAB (COMPLEMENTAR),Opencadd
PB1716.37,PB1716.37 - CANalyzer (COMPLEMENTAR),Vector Informatik
PB1716.38,PB1716.38 - MESHWORKS,DEP
PB1716.39,PB1716.39 - MATLAB (COMPLEMENTAR),Opencadd
PB1716.1,PB1716.1 - INCA (COMPLEMENTAR),ETAS
PB1717.2,PB1717.2 - Novo Mundo - CFTV,IBM
PB1717.3,PB1717.3 - Powertrain Digital - CFTV,IBM
PB1717.1,PB1717.1 - Armazenna - CFTV,IBM
PB1741.1,PB1741.1 - Manutenção dispositivos de acesso e ponto,HEAD
PB1776.2,PB1776.2 - Office - Alocação Suporte Técnico Stefanini Fleet,Stefanini
PB1776.3,PB1776.3 - PowertrainDigital - Alocação Suporte Stefanini Fleet,Stefanini
PB1776.1,PB1776.1 - Armazenna - Alocação Suporte Stefanini Fleet,Stefanini
PB1781.2,PB1781.2 - Telefonia Móvel SG&A,BT
PB1781.3,PB1781.3 - Despesas Telefonia Fixa SG&A,BT
PB1781.1,PB1781.1 - Despesas Meetme,BT
PB1782.2,PB1782.2 - Gestão Mensal Telepresense - TPs e VDCs  - Smartnet,BT
PB1782.3,PB1782.3 - Gestão Mensal Telepresense - TPs e VDCs  - Técnico Residente,BT
PB1782.4,PB1782.4 - Office - Gestão Mensal VDC (Complementar),BT
PB1782.5,PB1782.5 - PowertrainDigital - Gestão mensal VDC,BT
PB1782.1,PB1782.1 - Armazenna - Gestão Mensal VDC,BT
PB1783.2,PB1783.2 - WAN - Link Novo Mundo,BT
PB1783.3,PB1783.3 - WAN - Link Armazenna 2,BT
PB1783.4,PB1783.4 - WAN - Link Porto Digital,BT
PB1783.1,PB1783.1 - WAN - Link Regus,BT
PB1807.2,PB1807.2 - Powetrain Digital - Gestão LAN,N&C
PB1807.3,PB1807.3 - Novo Mundo - Gestão LAN,N&C
PB1807.1,PB1807.1 - Armazenna  - Gestão LAN,N&C
PB1814.2,PB1814.2 - Gestão ITO IBM Pernambuco - MISA Engenharia,IBM
PB1814.3,PB1814.3 - Serviço ITO - Gestão Serivdores Front End HPC,IBM/NPO
PB1814.4,PB1814.4 - Serviço ITO - Storage / Back up (Armazenna),IBM/NPO
PB1814.5,PB1814.5 - Serviço ITO - Storage / Back up (SW Center),IBM/NPO
PB1814.1,PB1814.1 - Serviço ITO - Storage / Back up ( Novo Mundo),IBM/NPO
PB1815.1,PB1815.1 - ALM Powertrain,Chrysler
PB1823.1,PB1823.1 - Transferência SG&A - Engenharia,
PB1213.1,PB1213.1 - AMS FGPS,
PB1203.1,PB1203.1 - AMS  XRT,
PB1279.11,PB1279.11 - Gerenciamento Professional Service,
PB1353,PB1353 - Manutenção de Hardware,
PB1355,PB1355 - Manutenção Licenças SW,
PB1356,PB1356 - On-going (AMS),
PB1354.1,PB1354.1 - Serviços e Manutenções NF-e,
PB1354.2,PB1354.2 - Serviços e Manutenções Mainframe,
PB1354.3,PB1354.3 - Serviços e Manutenções Sped Bloco K,
PB1355.1,"PB1355.1 -  Manutenção Sped Bloco K - Licenças InfoSphere, Sterling Connect, DB2",
PB1355.2,PB1355.2 - Manutenção Sped Bloco K - Licenças VmWare,
PB1355.3,PB1355.3 - Manutenção Sped Bloco K - Licenças Windows Server Edition,
PB1355.4,PB1355.4 - Manutenção NFe & Carta de Correção - Licenças Windows Server Edition,
PB1355.5,PB1355.5 - Manutenção NFe & Carta de Correção - Licenças VmWare,
PB1355.6,PB1356.5 - Manutenção NFe & Carta de Correção - Licenças SQL,
PB1356.1,PB1356.1 - Certificado Digital Serasa,
PB1356.2,PB1356.2 - Despesas de Cartório,
PB1356.3,PB1356.3 - Suporte Planejamento e Contratos,
PB1591.1,PB1591.1 - Suporte AMS Click,
PB1291.30,PB1291.30 - AMS Click Mopar - complementar Hortolândia,
PB1291.31,PB1291.31 - Serviços On-going 0800 Atento,
PB1249.25,PB1249.25 - Suporte FCM,
PB1208.28,PB1208.28 - AMS SGTR,BHTEC
PB1231.20,PB1231.20 - [LICENSE] PamStamp - Dies feasibility (complementar),
PB1231.21,PB1231.21 - [LICENSE] Maintenance TrakSYS - Powertrain complementar,
PB1231.22,PB1231.22 - [LICENSE] Die Structure Design,
PB1231.23,PB1231.23 - [LICENSE] Die Validation,
PB1231.24,PB1231.24 - [LICENSE] Press Line Simulation,
PB1232.19,PB1232.19 - Suporte On-Going PWT,
PB1232.20,PB1232.20 - Suporte On-Going Projetos Investimento,
PB1653.1,PB1653.1 - [PLS] AMS Produção,
PB1208.48,PB1208.48 - Desenvolvimento de Rede,
PB1223.3,PB1223.3 - Reply Smart AMS,
PB1267.7,PB1267.7 - Smart AMS RECOF,
PB1206.1,PB1206.1 - Manutenções Evolutivas,
PB1210.1,PB1210.1 - Manutenções Evolutivas,
PB1329.1,PB1329.1 - Repasse de Custos FCA Itália 2016/2017,
PB1220.1,PB1220.1 - ICT Central Governance-Custos Estrutura,
PB1265.1,PB1265.1 - Manutenções Evolutivas,
PB1351.1,PB1351.1 - Repasse de Custos FCA Itália,
PB1526.3,PB1526.3 - Drive IT - Servicenow - Subscription,
PB1653.7,PB1653.7 - AMS Click,
PB1653.6,PB1653.6 - Manutenção de HW Codins e Catracas,
PB1653.5,PB1653.5 - Suporte Xerox,
PB1653.4,PB1653.4 - Suporte Outbound,
PB1653.3,PB1653.3 - Proximity LAN,
PB1653.2,PB1653.2 - Fleet Produção,
PB1216.67,PB1216.67 - Manutenção SW GABI,
PB1716.40,PB1716.40 - Manutenção SW AVL DRIVE,AVL
PB1232.21,PB1232.21 - Suporte On-Going Projetos Cross Manufacturing,
PB1232.22,PB1232.22 - Suporte On-Going Projetos Cross Manufacturing PWT,
PB1232.23,PB1232.23 - Suporte On-Going Projetos BI Cross Manufacturing PWT,
PB1209.8,PB1209.8 - FullBack RAM 1200 for Argentina,
PB1209.9,PB1209.9 - TRYSTAN REBADGE LATAM,
