"Despesa_Sap","Despesa_Tm1"
"Fev - PB1216.8 - PROV MANUTENÇÃO ELEMENTS 4/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.9 - PROV MANUTENÇÃO SW FORMING SUITE 3/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.10 - PROV MANUTENÇÃO SW CAMEO 3/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.11 - PROV MANUTENÇÃO STAR CCM PLUS COMP 3/1","PB1216.5 - STAR CCM PLUS"
"Fev - PB1216.12 - PROV MANUTENÇÃO SW ICEM SURF 3/12","PB1216.15 - MANUTENÇÃO SW ICEM SURF"
"Fev - PB1216.13 - PROV MANUTENÇÃO SW FLOWMASTER 2/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.14 - PROV MANUTENÇÃO SW AESTHETICA 2/12","PB1216.18 - MANUTENÇÃO SW AESTHETICA"
"Fev - PB1216.15 - PROV MANUTENÇÃO SW MOLDFLOW 2/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.16 - PROV MANUTENÇÃO SW SYMTA 2/12","PB1216.36 - MANUTENÇÃO SW SYMTA"
"Fev - PB1216.17 - PROV MANUTENÇÃO VIRTUAL LAB 2/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.18 - PROV TCAE / UNIGRAPHICS 1/12","PB1216.2 - TCAE / UNIGRAPHICS"
"Fev - PB1216.19 - PROV SW SOFTWARE TESTE LAB 1/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.20 - PROV MANUTENÇÃO SW PULSE 1/12","PB1216.14 - MANUTENÇÃO SW PULSE"
"Fev - PB1216.21 - PROV E STAGE E MAGICS 1/12","PB1216.4 - HYPERWORKS E PBS"
"Fev - PB1216.22 - ICT SW MANUT LICENÇAS DE USO SW","PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE"
"Fev - PB1216.23 - 0053700028 LICENCAS DE USO SOFTWARE","PB1216.22 - AUTOFORM - ENGENHARIA DE PRODUTO"
"Fev - PB1216.24 - 0053700028 LICENCAS DE USO SOFTWARE","PB1216.22 - AUTOFORM - ENGENHARIA DE PRODUTO"
"Fev - PB1216.25 - 0053700028 LICENCAS DE USO SOFTWARE","PB1216.22 - AUTOFORM - ENGENHARIA DE PRODUTO"
"Fev - PB1216.26 - RENOVAÇÃO SOFTWARE TEST LAB","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.28 - ADVANCED NUMERICAL FAT 972 PO 619845","PB1216.33 - HELICAL 3D"
"Fev - PB1216.29 - IRRF FAT 972 ADVANCED NUMERICAL PO 6198","PB1216.33 - HELICAL 3D"
"Fev - PB1216.30 - IRRF FAT 40304 OPTIS PRISTINE LIMITED PO","PB1216.18 - MANUTENÇÃO SW AESTHETICA"
"Fev - PB1216.31 - AVL LIST GMBH FAT 3181007647 ALI PO","PB1216.33 - HELICAL 3D"
"Fev - PB1216.32 - IRRF FAT 3181007647 ALI AVL LIST PO 619","PB1216.33 - HELICAL 3D"
"Fev - PB1216.33 - OPTIS PRISTINE LIMITED FAT 40304 PO","PB1216.18 - MANUTENÇÃO SW AESTHETICA"
